,4-28-2017,5-28-2017,6-28-2017
0,796.0,1328.0,720.0
1,136.0,224.0,142.0
2,222.0,381.0,194.0
3,15.0,30.0,26.0
4,59.0,86.0,44.0
5,305.0,421.0,254.0
6,241.0,316.0,179.0
7,157.0,202.0,137.0
8,204.0,396.0,221.0
9,93.0,98.0,65.0
10,232.0,427.0,186.0
11,286.0,414.0,268.0
12,215.0,379.0,189.0
13,49.0,63.0,33.0
14,206.0,371.0,178.0
15,37.0,83.0,37.0
16,444.0,698.0,420.0
17,513.0,836.0,504.0
18,273.0,491.0,256.0
19,30.0,42.0,19.0
20,62.0,125.0,86.0
21,338.0,584.0,268.0
22,231.0,421.0,247.0
23,116.0,161.0,76.0
24,2175.0,3394.0,2000.0
25,52.0,86.0,58.0
26,875.0,1424.0,849.0
27,117.0,216.0,108.0
28,91.0,198.0,125.0
29,37.0,57.0,39.0
30,161.0,271.0,142.0
31,187.0,267.0,157.0
32,409.0,636.0,327.0
33,29.0,18.0,22.0
34,144.0,182.0,108.0
35,84.0,27.0,18.0
36,44.0,67.0,36.0
37,30.0,57.0,45.0
38,389.0,638.0,374.0
39,288.0,518.0,382.0
40,345.0,487.0,356.0
41,207.0,287.0,145.0
42,203.0,301.0,153.0
43,90.0,127.0,82.0
44,157.0,232.0,135.0
45,25.0,38.0,10.0
46,247.0,481.0,205.0
47,146.0,177.0,83.0
48,207.0,363.0,159.0
49,70.0,150.0,84.0
50,286.0,519.0,266.0
51,43.0,67.0,36.0
52,302.0,529.0,372.0
53,184.0,249.0,153.0
54,120.0,252.0,132.0
55,79.0,94.0,177.0
56,312.0,508.0,346.0
57,322.0,485.0,265.0
58,69.0,155.0,74.0
59,50.0,129.0,55.0
60,218.0,397.0,211.0
61,34.0,49.0,54.0
62,29.0,56.0,25.0

