,8-28-2019,9-28-2019,10-28-2019
773,9.0,14.0,1.0
774,6.0,16.0,3.0
775,9.0,10.0,0.0
776,3.0,3.0,2.0
777,5.0,11.0,0.0
778,4.0,14.0,2.0
779,9.0,2.0,0.0
780,9.0,9.0,1.0
781,12.0,9.0,1.0
782,8.0,7.0,1.0
783,4.0,10.0,1.0
784,8.0,7.0,0.0
785,11.0,18.0,1.0
786,9.0,18.0,0.0
787,4.0,6.0,0.0
788,4.0,3.0,0.0
789,15.0,11.0,1.0
790,20.0,17.0,1.0
791,12.0,8.0,0.0
792,18.0,17.0,2.0
793,16.0,21.0,0.0
794,6.0,8.0,1.0
795,9.0,11.0,0.0
796,20.0,10.0,1.0
797,15.0,14.0,1.0
798,21.0,8.0,0.0
799,5.0,11.0,0.0
800,16.0,24.0,0.0
801,9.0,11.0,5.0
802,12.0,12.0,0.0
803,6.0,15.0,2.0
804,6.0,9.0,1.0
805,23.0,10.0,6.0
806,32.0,16.0,2.0
807,11.0,8.0,2.0
808,1.0,2.0,0.0
809,11.0,9.0,6.0
810,6.0,3.0,0.0
811,3.0,5.0,1.0
812,7.0,13.0,2.0
813,12.0,19.0,0.0
814,8.0,16.0,1.0
815,5.0,3.0,0.0
816,11.0,14.0,0.0
817,22.0,19.0,1.0
818,8.0,5.0,0.0
819,23.0,19.0,1.0
820,27.0,14.0,0.0
821,17.0,13.0,3.0
822,7.0,12.0,2.0
823,18.0,15.0,1.0
824,16.0,32.0,0.0
825,17.0,19.0,2.0
826,13.0,6.0,0.0
827,12.0,19.0,2.0
828,2.0,5.0,0.0
829,17.0,12.0,1.0
830,5.0,6.0,2.0
831,2.0,6.0,0.0
832,3.0,6.0,0.0
833,5.0,4.0,0.0
834,7.0,8.0,1.0
835,3.0,3.0,0.0
836,2.0,5.0,0.0
837,9.0,9.0,0.0
838,19.0,19.0,0.0
839,22.0,21.0,2.0
840,16.0,12.0,0.0
841,10.0,13.0,3.0
842,19.0,27.0,1.0
843,15.0,21.0,1.0
844,3.0,3.0,0.0
845,16.0,11.0,0.0
846,23.0,31.0,0.0
847,14.0,11.0,2.0
848,23.0,29.0,0.0
849,10.0,21.0,0.0
850,16.0,12.0,2.0
851,9.0,5.0,0.0
852,15.0,18.0,1.0
853,8.0,8.0,0.0
854,8.0,8.0,4.0
855,5.0,5.0,1.0
856,10.0,8.0,0.0
857,7.0,5.0,1.0
858,1.0,4.0,2.0
859,9.0,11.0,0.0
860,9.0,5.0,1.0
861,2.0,0.0,0.0
862,23.0,20.0,1.0
863,10.0,6.0,1.0
864,7.0,4.0,1.0
865,4.0,6.0,2.0
866,4.0,2.0,0.0
867,5.0,2.0,0.0
868,9.0,8.0,1.0
869,8.0,2.0,0.0
870,7.0,3.0,1.0
871,2.0,1.0,0.0
872,11.0,4.0,0.0
873,4.0,6.0,0.0
874,8.0,16.0,4.0
875,2.0,1.0,0.0
876,6.0,1.0,1.0
877,15.0,9.0,2.0
878,3.0,5.0,0.0
879,10.0,13.0,0.0
880,5.0,1.0,0.0
881,9.0,13.0,1.0
