,6-28-2019,7-28-2019,8-28-2019
0,1346.0,1614.0,141.0
1,173.0,246.0,17.0
2,384.0,495.0,18.0
3,22.0,28.0,2.0
4,105.0,143.0,5.0
5,423.0,389.0,23.0
6,277.0,287.0,11.0
7,321.0,353.0,20.0
8,812.0,861.0,43.0
9,183.0,240.0,11.0
10,328.0,360.0,29.0
11,498.0,548.0,39.0
12,361.0,378.0,21.0
13,63.0,74.0,6.0
14,222.0,344.0,12.0
15,52.0,67.0,0.0
16,787.0,867.0,66.0
17,775.0,811.0,58.0
18,419.0,547.0,42.0
19,28.0,49.0,4.0
20,86.0,83.0,5.0
21,409.0,454.0,16.0
22,290.0,343.0,9.0
23,245.0,284.0,12.0
24,3520.0,4278.0,313.0
25,130.0,190.0,10.0
26,1330.0,1590.0,117.0
27,160.0,209.0,10.0
28,204.0,227.0,11.0
29,88.0,101.0,4.0
30,267.0,257.0,27.0
31,336.0,357.0,28.0
32,585.0,612.0,42.0
33,33.0,41.0,11.0
34,245.0,261.0,11.0
35,29.0,50.0,1.0
36,101.0,104.0,8.0
37,54.0,63.0,0.0
38,563.0,685.0,51.0
39,539.0,648.0,43.0
40,429.0,499.0,42.0
41,138.0,193.0,11.0
42,258.0,305.0,21.0
43,187.0,204.0,15.0
44,145.0,166.0,6.0
45,61.0,28.0,4.0
46,336.0,379.0,20.0
47,69.0,119.0,8.0
48,266.0,288.0,20.0
49,134.0,103.0,6.0
50,594.0,717.0,51.0
51,55.0,76.0,3.0
52,608.0,652.0,47.0
53,213.0,272.0,16.0
54,199.0,207.0,21.0
55,50.0,81.0,3.0
56,472.0,518.0,38.0
57,463.0,538.0,47.0
58,212.0,293.0,22.0
59,111.0,159.0,72.0
60,344.0,443.0,18.0
61,85.0,97.0,5.0
62,48.0,60.0,1.0

