,10-28-2019,11-28-2019,12-28-2019
773,3.0,7.0,1.0
774,18.0,7.0,4.0
775,7.0,11.0,2.0
776,4.0,4.0,0.0
777,5.0,8.0,0.0
778,3.0,1.0,0.0
779,12.0,8.0,0.0
780,7.0,11.0,2.0
781,11.0,6.0,0.0
782,6.0,9.0,2.0
783,5.0,6.0,0.0
784,12.0,16.0,1.0
785,8.0,12.0,0.0
786,13.0,16.0,1.0
787,2.0,8.0,2.0
788,7.0,8.0,0.0
789,8.0,10.0,2.0
790,11.0,12.0,0.0
791,7.0,12.0,1.0
792,7.0,14.0,2.0
793,27.0,24.0,1.0
794,11.0,8.0,0.0
795,7.0,5.0,4.0
796,11.0,13.0,3.0
797,9.0,9.0,1.0
798,7.0,8.0,1.0
799,8.0,10.0,0.0
800,23.0,8.0,7.0
801,6.0,9.0,2.0
802,8.0,8.0,0.0
803,9.0,8.0,0.0
804,8.0,5.0,0.0
805,25.0,19.0,4.0
806,24.0,22.0,2.0
807,14.0,10.0,2.0
808,2.0,6.0,0.0
809,11.0,8.0,4.0
810,3.0,6.0,2.0
811,3.0,3.0,3.0
812,10.0,9.0,0.0
813,19.0,12.0,1.0
814,11.0,5.0,2.0
815,10.0,2.0,0.0
816,10.0,15.0,0.0
817,11.0,13.0,1.0
818,7.0,6.0,1.0
819,17.0,11.0,2.0
820,19.0,10.0,0.0
821,18.0,13.0,1.0
822,4.0,11.0,0.0
823,10.0,9.0,4.0
824,17.0,22.0,1.0
825,14.0,12.0,5.0
826,14.0,9.0,1.0
827,13.0,5.0,1.0
828,5.0,3.0,0.0
829,17.0,16.0,1.0
830,3.0,4.0,1.0
831,4.0,2.0,0.0
832,5.0,3.0,1.0
833,1.0,8.0,2.0
834,4.0,9.0,2.0
835,5.0,3.0,0.0
836,4.0,2.0,0.0
837,8.0,10.0,2.0
838,19.0,16.0,1.0
839,23.0,20.0,0.0
840,9.0,12.0,1.0
841,12.0,12.0,2.0
842,27.0,25.0,2.0
843,12.0,11.0,4.0
844,6.0,5.0,0.0
845,19.0,14.0,3.0
846,15.0,24.0,4.0
847,14.0,10.0,1.0
848,25.0,12.0,2.0
849,27.0,13.0,3.0
850,18.0,16.0,3.0
851,5.0,7.0,0.0
852,16.0,10.0,4.0
853,3.0,1.0,2.0
854,8.0,8.0,1.0
855,6.0,4.0,1.0
856,6.0,7.0,2.0
857,5.0,7.0,0.0
858,1.0,6.0,2.0
