,6-28-2019,7-28-2019,8-28-2019
63,115.0,142.0,7.0
64,205.0,226.0,15.0
65,73.0,69.0,9.0
66,184.0,223.0,13.0
67,92.0,102.0,12.0
68,156.0,224.0,23.0
69,139.0,191.0,10.0
70,115.0,105.0,5.0
71,99.0,96.0,21.0
72,122.0,148.0,9.0
73,46.0,88.0,17.0
74,24.0,39.0,1.0
75,10.0,21.0,1.0
76,48.0,75.0,7.0
77,34.0,33.0,3.0
78,10.0,29.0,1.0
79,33.0,34.0,1.0
80,14.0,15.0,3.0
81,31.0,52.0,5.0
82,36.0,73.0,4.0
83,25.0,41.0,0.0
84,68.0,38.0,1.0
85,103.0,123.0,5.0
86,4.0,10.0,0.0
87,22.0,48.0,0.0
88,33.0,47.0,2.0
89,24.0,32.0,0.0
90,38.0,31.0,1.0
91,4.0,3.0,0.0
92,1.0,1.0,0.0
93,5.0,9.0,0.0
94,3.0,2.0,0.0
95,6.0,6.0,0.0
96,1.0,3.0,2.0
97,0.0,0.0,0.0
98,2.0,4.0,0.0
99,26.0,23.0,0.0
100,15.0,14.0,0.0
101,11.0,16.0,0.0
102,16.0,21.0,0.0
103,5.0,11.0,0.0
104,14.0,21.0,3.0
105,12.0,14.0,1.0
106,6.0,23.0,1.0
107,59.0,44.0,2.0
108,82.0,67.0,1.0
109,39.0,42.0,8.0
110,41.0,33.0,2.0
111,35.0,45.0,4.0
112,27.0,48.0,1.0
113,67.0,30.0,3.0
114,35.0,35.0,1.0
115,38.0,45.0,1.0
116,38.0,51.0,0.0
117,20.0,24.0,1.0
118,9.0,9.0,1.0
119,15.0,26.0,0.0
120,57.0,56.0,3.0
121,116.0,89.0,6.0
122,21.0,32.0,0.0
123,2.0,2.0,0.0
124,57.0,77.0,3.0
125,8.0,14.0,2.0
126,14.0,16.0,4.0
127,35.0,40.0,3.0
128,41.0,36.0,1.0
129,69.0,70.0,1.0
130,24.0,39.0,1.0
131,64.0,46.0,4.0
132,5.0,9.0,0.0
133,2.0,2.0,1.0
134,28.0,67.0,2.0
135,154.0,137.0,4.0
136,21.0,19.0,2.0
137,32.0,36.0,2.0
138,100.0,121.0,9.0
139,36.0,44.0,1.0
140,80.0,102.0,7.0
141,98.0,112.0,2.0
142,262.0,222.0,14.0
143,7.0,13.0,1.0
144,5.0,5.0,0.0
145,40.0,46.0,3.0
146,11.0,36.0,1.0
147,20.0,11.0,0.0
148,20.0,19.0,1.0
149,23.0,22.0,0.0
150,29.0,40.0,1.0
151,18.0,27.0,3.0
152,5.0,16.0,0.0
153,5.0,5.0,1.0
154,49.0,46.0,4.0
155,19.0,20.0,1.0
156,23.0,32.0,2.0
157,45.0,64.0,7.0
158,20.0,30.0,4.0
159,39.0,40.0,2.0
160,46.0,38.0,2.0
161,3.0,5.0,0.0
162,33.0,37.0,1.0
163,51.0,48.0,6.0
164,61.0,79.0,3.0
165,60.0,62.0,5.0
166,45.0,52.0,9.0
167,53.0,45.0,1.0
168,77.0,76.0,8.0
169,19.0,24.0,1.0
170,90.0,113.0,6.0
171,49.0,47.0,2.0
172,44.0,50.0,4.0
173,89.0,86.0,6.0
174,44.0,50.0,3.0
175,42.0,44.0,2.0
176,21.0,14.0,1.0
177,13.0,24.0,0.0
178,17.0,24.0,0.0
179,35.0,34.0,1.0
180,69.0,75.0,7.0
181,30.0,27.0,1.0
182,2.0,4.0,0.0
183,3.0,0.0,0.0
184,15.0,14.0,2.0
185,2.0,5.0,0.0
186,7.0,10.0,0.0
187,6.0,6.0,0.0
188,5.0,2.0,1.0
189,2.0,5.0,0.0
190,2.0,4.0,1.0
191,7.0,12.0,1.0
192,2.0,1.0,0.0
193,5.0,2.0,1.0
194,5.0,9.0,0.0
195,5.0,6.0,1.0
196,56.0,86.0,0.0
197,16.0,16.0,4.0
198,25.0,36.0,1.0
199,0.0,7.0,1.0
200,15.0,16.0,3.0
201,8.0,12.0,1.0
202,9.0,9.0,1.0
203,16.0,17.0,0.0
204,2.0,3.0,0.0
205,8.0,19.0,0.0
206,37.0,42.0,0.0
207,9.0,6.0,0.0
208,8.0,61.0,0.0
209,8.0,8.0,0.0
210,8.0,5.0,0.0
211,10.0,9.0,0.0
212,3.0,7.0,0.0
213,11.0,6.0,0.0
214,9.0,11.0,0.0
215,7.0,11.0,0.0
216,3.0,10.0,0.0
217,1.0,8.0,0.0
218,262.0,316.0,22.0
219,35.0,46.0,3.0
220,53.0,41.0,3.0
221,38.0,26.0,0.0
222,51.0,86.0,6.0
223,117.0,73.0,9.0
224,24.0,54.0,4.0
225,17.0,28.0,5.0
226,106.0,97.0,6.0
227,37.0,40.0,4.0
228,46.0,60.0,4.0
229,136.0,146.0,7.0
230,0.0,0.0,0.0
231,90.0,84.0,1.0
233,0.0,0.0,0.0
233,143.0,163.0,18.0
234,77.0,79.0,9.0
235,91.0,87.0,6.0
236,46.0,43.0,3.0
237,35.0,43.0,6.0
238,50.0,56.0,1.0
239,65.0,51.0,2.0
240,42.0,59.0,5.0
241,25.0,50.0,1.0
242,81.0,83.0,13.0
243,61.0,71.0,4.0
244,45.0,97.0,5.0
245,57.0,65.0,7.0
246,71.0,84.0,2.0
247,79.0,97.0,10.0
248,8.0,16.0,2.0
249,4.0,5.0,0.0
250,3.0,6.0,0.0
251,2.0,1.0,1.0
252,2.0,6.0,0.0
253,2.0,2.0,0.0
254,2.0,2.0,0.0
255,2.0,6.0,1.0
256,0.0,3.0,0.0
257,3.0,2.0,0.0
258,1.0,4.0,0.0
259,3.0,1.0,0.0
260,1.0,4.0,2.0
261,4.0,1.0,0.0
262,0.0,0.0,0.0
263,12.0,3.0,0.0
264,0.0,2.0,0.0
265,2.0,4.0,1.0
266,0.0,1.0,0.0
267,6.0,3.0,0.0
268,1.0,0.0,0.0
269,6.0,10.0,1.0
270,2.0,9.0,0.0
271,21.0,12.0,1.0
272,3.0,4.0,0.0
273,4.0,2.0,0.0
274,20.0,23.0,0.0
275,14.0,19.0,0.0
276,17.0,25.0,4.0
277,54.0,51.0,5.0
278,29.0,20.0,1.0
279,29.0,78.0,1.0
280,39.0,32.0,0.0
281,56.0,32.0,3.0
282,25.0,41.0,2.0
283,33.0,34.0,0.0
284,42.0,37.0,0.0
285,34.0,44.0,0.0
286,37.0,41.0,0.0
287,37.0,48.0,2.0
288,33.0,47.0,0.0
289,0.0,0.0,0.0
290,0.0,2.0,0.0
291,6.0,10.0,0.0
292,4.0,4.0,0.0
293,4.0,6.0,0.0
294,23.0,22.0,2.0
295,7.0,8.0,0.0
296,22.0,33.0,1.0
297,49.0,22.0,0.0
298,30.0,36.0,0.0
299,42.0,70.0,2.0
300,17.0,10.0,0.0
301,16.0,25.0,2.0
302,37.0,52.0,6.0
303,14.0,7.0,0.0
305,0.0,0.0,0.0
305,69.0,86.0,4.0
306,28.0,33.0,0.0
307,46.0,16.0,0.0
308,23.0,51.0,1.0
309,28.0,38.0,1.0
310,260.0,307.0,20.0
311,265.0,385.0,12.0
312,257.0,300.0,14.0
313,19.0,20.0,0.0
314,224.0,220.0,24.0
315,283.0,300.0,23.0
316,255.0,283.0,22.0
317,134.0,184.0,15.0
318,47.0,46.0,1.0
