,8-28-2019,9-28-2019,10-28-2019
63,106.0,148.0,13.0
64,214.0,216.0,15.0
65,87.0,53.0,17.0
66,181.0,194.0,11.0
67,97.0,108.0,8.0
68,206.0,231.0,11.0
69,145.0,125.0,16.0
70,95.0,78.0,15.0
71,92.0,103.0,15.0
72,128.0,120.0,10.0
73,97.0,98.0,7.0
74,30.0,46.0,4.0
75,16.0,15.0,2.0
76,58.0,63.0,2.0
77,38.0,42.0,1.0
78,17.0,28.0,2.0
79,29.0,31.0,0.0
80,15.0,17.0,1.0
81,44.0,32.0,6.0
82,37.0,35.0,3.0
83,40.0,22.0,1.0
84,54.0,44.0,4.0
85,142.0,131.0,12.0
86,10.0,8.0,0.0
87,34.0,39.0,0.0
88,27.0,17.0,1.0
89,21.0,29.0,1.0
90,42.0,40.0,3.0
91,11.0,1.0,0.0
92,0.0,4.0,1.0
93,2.0,7.0,0.0
94,3.0,9.0,0.0
95,2.0,1.0,0.0
96,2.0,2.0,0.0
97,0.0,0.0,0.0
98,1.0,1.0,0.0
99,20.0,13.0,0.0
100,11.0,8.0,1.0
101,6.0,5.0,1.0
102,12.0,13.0,1.0
103,7.0,4.0,0.0
104,17.0,13.0,0.0
105,10.0,12.0,0.0
106,11.0,15.0,0.0
107,55.0,56.0,6.0
108,72.0,52.0,9.0
109,62.0,37.0,4.0
110,38.0,32.0,1.0
111,61.0,53.0,5.0
112,30.0,55.0,6.0
113,50.0,44.0,5.0
114,40.0,58.0,2.0
115,40.0,36.0,6.0
116,39.0,28.0,0.0
117,16.0,19.0,2.0
118,16.0,12.0,0.0
119,20.0,20.0,2.0
120,59.0,45.0,4.0
121,128.0,133.0,8.0
122,34.0,42.0,1.0
123,2.0,4.0,0.0
124,77.0,24.0,10.0
125,13.0,14.0,0.0
126,17.0,15.0,4.0
127,42.0,42.0,6.0
128,36.0,32.0,2.0
129,73.0,71.0,12.0
130,28.0,29.0,2.0
131,40.0,64.0,3.0
132,8.0,7.0,0.0
133,0.0,2.0,0.0
134,21.0,23.0,2.0
135,107.0,140.0,6.0
136,17.0,15.0,1.0
137,28.0,19.0,2.0
138,109.0,128.0,8.0
139,53.0,86.0,3.0
140,110.0,85.0,8.0
141,104.0,104.0,9.0
142,233.0,221.0,20.0
143,10.0,6.0,0.0
144,6.0,8.0,1.0
145,36.0,33.0,2.0
146,13.0,11.0,1.0
147,17.0,14.0,0.0
148,23.0,17.0,1.0
149,32.0,26.0,0.0
150,30.0,26.0,3.0
151,26.0,21.0,1.0
152,1.0,3.0,0.0
153,11.0,3.0,1.0
154,60.0,52.0,2.0
155,29.0,29.0,3.0
156,104.0,21.0,4.0
157,62.0,64.0,6.0
158,17.0,15.0,3.0
159,46.0,48.0,3.0
160,78.0,103.0,11.0
161,5.0,7.0,0.0
162,32.0,27.0,1.0
163,53.0,44.0,3.0
164,52.0,62.0,4.0
165,48.0,62.0,8.0
166,62.0,56.0,4.0
167,35.0,54.0,5.0
168,66.0,82.0,5.0
169,23.0,16.0,2.0
170,115.0,105.0,10.0
171,56.0,46.0,2.0
172,35.0,48.0,1.0
173,112.0,89.0,5.0
174,34.0,38.0,2.0
175,54.0,34.0,10.0
176,19.0,13.0,0.0
177,11.0,24.0,2.0
178,28.0,16.0,0.0
179,45.0,28.0,0.0
180,58.0,85.0,2.0
181,38.0,33.0,3.0
182,3.0,6.0,0.0
183,5.0,3.0,1.0
184,21.0,20.0,1.0
185,3.0,6.0,1.0
186,3.0,7.0,0.0
187,6.0,11.0,0.0
188,6.0,4.0,0.0
189,2.0,6.0,1.0
190,7.0,5.0,1.0
191,3.0,5.0,0.0
192,2.0,3.0,1.0
193,6.0,3.0,0.0
194,14.0,8.0,1.0
195,1.0,5.0,2.0
196,63.0,77.0,8.0
197,16.0,17.0,0.0
198,19.0,19.0,2.0
199,7.0,4.0,0.0
200,9.0,17.0,3.0
201,5.0,9.0,1.0
202,14.0,12.0,1.0
203,10.0,12.0,0.0
204,2.0,2.0,0.0
205,10.0,12.0,0.0
206,44.0,31.0,5.0
207,1.0,14.0,1.0
208,7.0,9.0,0.0
209,5.0,7.0,0.0
210,5.0,4.0,0.0
211,14.0,24.0,1.0
212,5.0,6.0,0.0
213,5.0,8.0,1.0
214,10.0,18.0,3.0
215,13.0,14.0,4.0
216,0.0,0.0,0.0
217,4.0,4.0,0.0
218,257.0,292.0,32.0
219,20.0,35.0,0.0
220,53.0,65.0,3.0
221,38.0,31.0,3.0
222,91.0,80.0,9.0
223,55.0,45.0,6.0
224,30.0,48.0,3.0
225,12.0,15.0,4.0
226,91.0,111.0,7.0
227,44.0,59.0,1.0
228,72.0,50.0,7.0
229,156.0,159.0,7.0
230,0.0,0.0,0.0
231,65.0,74.0,7.0
233,0.0,0.0,0.0
233,133.0,136.0,26.0
234,78.0,67.0,11.0
235,71.0,84.0,13.0
236,41.0,55.0,11.0
237,32.0,40.0,12.0
238,64.0,37.0,12.0
239,68.0,72.0,2.0
240,41.0,46.0,5.0
241,42.0,44.0,2.0
242,93.0,70.0,8.0
243,66.0,68.0,14.0
244,66.0,79.0,6.0
245,53.0,51.0,11.0
246,69.0,55.0,5.0
247,105.0,98.0,5.0
248,8.0,22.0,1.0
249,1.0,5.0,0.0
250,9.0,5.0,0.0
251,1.0,4.0,0.0
252,4.0,2.0,1.0
253,3.0,3.0,0.0
254,1.0,1.0,0.0
255,7.0,6.0,0.0
256,0.0,0.0,0.0
257,4.0,2.0,0.0
258,1.0,5.0,0.0
259,2.0,0.0,0.0
260,6.0,1.0,0.0
261,3.0,2.0,0.0
262,4.0,0.0,0.0
263,14.0,15.0,2.0
264,0.0,0.0,0.0
265,0.0,4.0,0.0
266,2.0,0.0,0.0
267,4.0,2.0,0.0
268,0.0,0.0,0.0
269,9.0,10.0,0.0
270,2.0,1.0,0.0
271,16.0,10.0,1.0
272,0.0,5.0,0.0
273,3.0,5.0,1.0
274,18.0,21.0,0.0
275,16.0,26.0,1.0
276,24.0,25.0,5.0
277,52.0,56.0,1.0
278,25.0,28.0,0.0
279,43.0,43.0,1.0
280,15.0,29.0,0.0
281,43.0,38.0,2.0
282,28.0,36.0,0.0
283,25.0,44.0,0.0
284,58.0,43.0,1.0
285,37.0,51.0,2.0
286,34.0,46.0,1.0
287,74.0,61.0,3.0
288,42.0,32.0,4.0
289,0.0,0.0,0.0
290,4.0,3.0,0.0
291,4.0,5.0,1.0
292,2.0,3.0,0.0
293,3.0,7.0,0.0
294,34.0,31.0,1.0
295,8.0,13.0,0.0
296,20.0,22.0,6.0
297,19.0,17.0,1.0
298,26.0,34.0,1.0
299,73.0,62.0,8.0
300,14.0,4.0,0.0
301,10.0,19.0,1.0
302,37.0,57.0,5.0
303,5.0,3.0,0.0
305,0.0,0.0,0.0
305,66.0,52.0,4.0
306,39.0,31.0,4.0
307,4.0,33.0,2.0
308,27.0,37.0,3.0
309,27.0,29.0,4.0
310,293.0,295.0,17.0
311,336.0,326.0,51.0
312,255.0,249.0,41.0
313,30.0,24.0,1.0
314,256.0,193.0,29.0
315,263.0,279.0,30.0
316,261.0,283.0,30.0
317,162.0,177.0,15.0
318,41.0,50.0,9.0
319,75.0,95.0,8.0
320,121.0,108.0,7.0
321,139.0,121.0,9.0
322,146.0,135.0,18.0
323,86.0,67.0,11.0
324,103.0,109.0,9.0
325,169.0,165.0,16.0
326,41.0,37.0,3.0
327,189.0,186.0,15.0
328,43.0,77.0,11.0
329,107.0,143.0,29.0
330,162.0,123.0,4.0
331,189.0,179.0,24.0
332,167.0,116.0,7.0
333,203.0,178.0,14.0
334,8.0,5.0,1.0
335,8.0,15.0,1.0
336,22.0,21.0,2.0
337,7.0,12.0,2.0
338,13.0,12.0,0.0
339,30.0,16.0,2.0
340,22.0,22.0,0.0
341,1.0,2.0,0.0
342,20.0,13.0,5.0
343,4.0,5.0,0.0
344,29.0,35.0,1.0
345,34.0,50.0,3.0
346,26.0,46.0,6.0
347,94.0,96.0,10.0
348,45.0,66.0,7.0
349,60.0,64.0,3.0
350,34.0,40.0,2.0
351,95.0,88.0,8.0
352,24.0,18.0,1.0
353,55.0,43.0,1.0
354,44.0,51.0,3.0
355,42.0,57.0,2.0
356,51.0,59.0,7.0
357,33.0,36.0,2.0
358,48.0,53.0,7.0
359,94.0,79.0,6.0
360,66.0,62.0,5.0
361,36.0,34.0,6.0
362,25.0,25.0,2.0
363,34.0,39.0,2.0
364,42.0,41.0,1.0
365,34.0,25.0,2.0
366,28.0,25.0,2.0
367,38.0,50.0,2.0
368,22.0,30.0,1.0
369,63.0,60.0,4.0
370,26.0,38.0,1.0
371,51.0,29.0,1.0
372,44.0,63.0,2.0
373,73.0,82.0,6.0
374,33.0,40.0,0.0
375,30.0,18.0,4.0
376,24.0,28.0,3.0
377,30.0,30.0,22.0
378,46.0,43.0,4.0
379,33.0,18.0,3.0
380,31.0,37.0,3.0
381,28.0,30.0,0.0
382,21.0,11.0,2.0
383,16.0,19.0,0.0
384,2.0,6.0,1.0
385,18.0,13.0,5.0
386,10.0,16.0,0.0
387,13.0,21.0,1.0
389,0.0,0.0,0.0
389,32.0,39.0,1.0
390,15.0,7.0,0.0
391,17.0,14.0,1.0
392,37.0,38.0,7.0
393,3.0,0.0,0.0
394,9.0,2.0,0.0
395,5.0,5.0,0.0
396,9.0,9.0,2.0
397,2.0,0.0,1.0
398,0.0,0.0,0.0
399,35.0,33.0,5.0
400,10.0,9.0,0.0
401,25.0,16.0,0.0
402,2.0,2.0,0.0
403,18.0,9.0,0.0
404,5.0,3.0,0.0
405,33.0,27.0,1.0
406,27.0,29.0,2.0
407,41.0,30.0,1.0
408,22.0,27.0,3.0
409,21.0,35.0,5.0
410,17.0,24.0,2.0
411,30.0,23.0,0.0
412,14.0,20.0,2.0
413,16.0,24.0,2.0
414,19.0,15.0,3.0
415,13.0,10.0,0.0
416,48.0,40.0,2.0
417,20.0,30.0,10.0
418,9.0,7.0,0.0
419,10.0,4.0,0.0
420,128.0,159.0,19.0
421,30.0,48.0,0.0
422,43.0,48.0,0.0
423,47.0,43.0,6.0
424,39.0,51.0,10.0
425,65.0,53.0,4.0
426,78.0,86.0,10.0
427,7.0,9.0,3.0
428,37.0,57.0,2.0
429,4.0,19.0,0.0
430,96.0,97.0,7.0
431,3.0,2.0,0.0
432,52.0,53.0,0.0
433,59.0,46.0,4.0
434,48.0,41.0,3.0
435,54.0,49.0,7.0
436,3.0,6.0,1.0
437,13.0,10.0,0.0
438,6.0,8.0,0.0
439,6.0,6.0,0.0
440,13.0,9.0,7.0
441,1.0,3.0,0.0
442,1.0,1.0,0.0
443,1.0,0.0,0.0
444,6.0,13.0,2.0
445,4.0,5.0,0.0
446,1.0,5.0,2.0
447,2.0,2.0,0.0
448,5.0,7.0,2.0
449,7.0,11.0,0.0
450,24.0,31.0,4.0
451,33.0,31.0,1.0
452,10.0,9.0,1.0
453,43.0,49.0,3.0
454,47.0,42.0,0.0
455,33.0,34.0,3.0
456,7.0,7.0,1.0
457,29.0,33.0,4.0
458,20.0,16.0,1.0
459,2.0,0.0,0.0
460,19.0,10.0,0.0
461,5.0,3.0,0.0
462,6.0,5.0,0.0
463,6.0,8.0,1.0
464,1.0,6.0,0.0
465,1.0,1.0,1.0
466,5.0,2.0,0.0
467,13.0,12.0,2.0
468,11.0,1.0,0.0
469,6.0,9.0,0.0
470,11.0,5.0,0.0
471,9.0,14.0,0.0
472,9.0,18.0,0.0
473,14.0,25.0,1.0
474,8.0,4.0,0.0
475,13.0,2.0,1.0
476,0.0,2.0,0.0
477,5.0,4.0,0.0
478,14.0,13.0,1.0
479,14.0,10.0,3.0
480,4.0,4.0,0.0
481,3.0,3.0,0.0
482,9.0,15.0,1.0
483,7.0,10.0,2.0
484,3.0,0.0,0.0
485,7.0,0.0,0.0
486,5.0,0.0,0.0
487,3.0,5.0,0.0
488,43.0,73.0,3.0
489,54.0,67.0,3.0
490,54.0,34.0,8.0
491,28.0,29.0,3.0
492,160.0,159.0,17.0
493,26.0,24.0,4.0
494,15.0,30.0,7.0
495,8.0,8.0,2.0
496,49.0,44.0,2.0
497,12.0,11.0,0.0
498,40.0,43.0,5.0
499,45.0,40.0,6.0
500,23.0,17.0,1.0
501,27.0,37.0,1.0
502,22.0,19.0,1.0
503,56.0,26.0,11.0
504,72.0,58.0,2.0
505,17.0,20.0,0.0
506,95.0,106.0,4.0
507,45.0,51.0,4.0
508,57.0,63.0,5.0
509,43.0,68.0,4.0
510,42.0,48.0,5.0
511,48.0,49.0,3.0
512,89.0,93.0,13.0
513,9.0,4.0,1.0
514,13.0,14.0,1.0
515,20.0,14.0,0.0
516,42.0,29.0,0.0
517,39.0,41.0,8.0
518,30.0,26.0,0.0
519,23.0,23.0,2.0
520,19.0,19.0,0.0
521,31.0,32.0,6.0
522,35.0,42.0,3.0
523,14.0,20.0,0.0
524,10.0,10.0,0.0
525,8.0,4.0,0.0
526,18.0,13.0,0.0
527,48.0,48.0,6.0
528,51.0,22.0,0.0
529,10.0,11.0,0.0
530,69.0,50.0,2.0
531,12.0,16.0,1.0
532,49.0,51.0,8.0
533,36.0,55.0,2.0
534,21.0,22.0,6.0
535,21.0,22.0,0.0
536,37.0,41.0,9.0
537,30.0,35.0,2.0
538,22.0,28.0,1.0
539,9.0,8.0,0.0
540,10.0,11.0,1.0
541,11.0,14.0,1.0
542,32.0,22.0,1.0
543,29.0,42.0,0.0
544,79.0,59.0,10.0
545,17.0,34.0,3.0
546,80.0,87.0,7.0
547,12.0,13.0,1.0
548,15.0,11.0,1.0
549,24.0,24.0,2.0
550,14.0,25.0,3.0
551,41.0,27.0,1.0
552,18.0,18.0,1.0
553,15.0,15.0,0.0
554,7.0,10.0,1.0
555,13.0,21.0,1.0
556,6.0,9.0,0.0
557,21.0,21.0,1.0
558,13.0,14.0,0.0
559,13.0,7.0,0.0
560,19.0,26.0,1.0
561,22.0,16.0,0.0
562,17.0,6.0,1.0
563,35.0,20.0,0.0
564,18.0,18.0,4.0
565,12.0,9.0,1.0
566,14.0,26.0,2.0
567,17.0,22.0,1.0
568,19.0,18.0,0.0
569,15.0,16.0,0.0
570,14.0,19.0,0.0
571,1.0,1.0,0.0
572,4.0,2.0,1.0
573,4.0,4.0,1.0
574,2.0,6.0,0.0
575,4.0,8.0,1.0
576,5.0,8.0,1.0
577,2.0,4.0,0.0
578,1.0,0.0,0.0
579,6.0,11.0,0.0
580,40.0,52.0,0.0
581,48.0,55.0,2.0
582,1.0,1.0,0.0
583,21.0,31.0,5.0
584,23.0,19.0,2.0
585,9.0,11.0,1.0
586,7.0,3.0,0.0
587,8.0,6.0,4.0
588,6.0,14.0,0.0
589,40.0,44.0,0.0
590,13.0,2.0,4.0
591,14.0,15.0,1.0
592,33.0,27.0,1.0
593,28.0,38.0,4.0
594,5.0,2.0,0.0
595,43.0,20.0,2.0
596,25.0,11.0,3.0
597,8.0,7.0,0.0
598,13.0,7.0,1.0
599,0.0,0.0,0.0
600,0.0,0.0,0.0
601,8.0,15.0,0.0
602,3.0,2.0,0.0
603,0.0,11.0,1.0
604,16.0,31.0,3.0
605,7.0,5.0,0.0
606,8.0,9.0,0.0
607,2.0,2.0,0.0
608,0.0,0.0,0.0
609,1.0,1.0,1.0
610,12.0,13.0,2.0
611,1.0,0.0,0.0
612,3.0,4.0,1.0
613,39.0,42.0,9.0
614,0.0,0.0,0.0
615,17.0,5.0,1.0
616,16.0,13.0,0.0
617,96.0,90.0,5.0
618,2.0,2.0,3.0
619,13.0,13.0,4.0
620,9.0,6.0,1.0
621,35.0,45.0,3.0
622,8.0,17.0,4.0
623,35.0,37.0,1.0
624,15.0,9.0,0.0
625,0.0,0.0,0.0
626,9.0,13.0,0.0
627,11.0,24.0,5.0
628,21.0,30.0,1.0
629,14.0,12.0,4.0
630,7.0,10.0,0.0
631,8.0,9.0,0.0
632,8.0,6.0,0.0
633,8.0,10.0,0.0
634,17.0,6.0,1.0
635,57.0,70.0,3.0
636,23.0,27.0,5.0
637,74.0,86.0,6.0
638,49.0,63.0,5.0
639,51.0,49.0,9.0
640,73.0,62.0,2.0
641,15.0,38.0,2.0
642,103.0,105.0,4.0
643,25.0,40.0,3.0
644,61.0,85.0,9.0
645,73.0,83.0,10.0
646,4.0,1.0,0.0
647,6.0,6.0,0.0
648,2.0,5.0,0.0
649,2.0,2.0,1.0
650,13.0,10.0,0.0
651,0.0,0.0,0.0
652,2.0,2.0,0.0
653,6.0,5.0,1.0
654,11.0,3.0,0.0
655,4.0,2.0,1.0
656,4.0,3.0,0.0
657,3.0,4.0,0.0
658,53.0,51.0,2.0
659,48.0,56.0,5.0
660,49.0,58.0,1.0
661,60.0,96.0,6.0
662,114.0,124.0,4.0
663,69.0,98.0,7.0
664,52.0,45.0,3.0
665,58.0,47.0,7.0
666,93.0,98.0,14.0
667,19.0,12.0,0.0
668,38.0,30.0,2.0
669,45.0,44.0,4.0
670,30.0,23.0,1.0
671,2.0,2.0,0.0
672,14.0,34.0,0.0
673,20.0,49.0,6.0
674,45.0,50.0,3.0
675,31.0,31.0,4.0
676,29.0,15.0,10.0
677,43.0,39.0,3.0
678,34.0,39.0,2.0
679,50.0,47.0,3.0
680,17.0,12.0,1.0
681,12.0,14.0,1.0
682,22.0,9.0,1.0
683,9.0,26.0,1.0
684,10.0,7.0,0.0
685,1.0,9.0,0.0
686,8.0,7.0,1.0
687,0.0,1.0,0.0
688,10.0,8.0,2.0
689,1.0,40.0,0.0
690,8.0,4.0,0.0
691,60.0,16.0,2.0
692,0.0,3.0,0.0
693,5.0,8.0,0.0
694,13.0,17.0,0.0
695,64.0,21.0,2.0
696,11.0,7.0,1.0
697,14.0,10.0,1.0
698,7.0,14.0,2.0
699,25.0,24.0,2.0
700,8.0,4.0,0.0
701,0.0,2.0,0.0
702,12.0,18.0,2.0
703,9.0,25.0,1.0
704,15.0,12.0,0.0
705,8.0,11.0,1.0
706,30.0,34.0,0.0
707,16.0,23.0,0.0
708,4.0,4.0,0.0
709,1.0,1.0,0.0
710,0.0,4.0,1.0
711,18.0,6.0,0.0
712,16.0,21.0,0.0
713,29.0,28.0,3.0
714,24.0,21.0,2.0
715,14.0,13.0,1.0
716,39.0,37.0,3.0
717,35.0,39.0,2.0
718,5.0,5.0,0.0
719,16.0,20.0,2.0
720,107.0,119.0,7.0
722,0.0,0.0,0.0
722,86.0,70.0,4.0
723,18.0,20.0,1.0
