P,[2016-1,2016-2,2016-3,2016-4,2016-5,2016-6,2016-7,2016-8,2016-9,2016-10,2016-11,2016-12,2017-1,2017-2,2017-3,2017-4,2017-5,2017-6,2017-7,2017-8,2017-9,2017-10,2017-11,2017-12,2018-1,2018-2,2018-3,2018-4,2018-5,2018-6,2018-7,2018-8,2018-9,2018-10,2018-11,2018-12,2019-1,2019-2,2019-3,2019-4,2019-5,2019-6,2019-7,2019-8,2019-9,2019-10,2019-11,2019-12,2020-1,2020-2,2020-3,2020-4,2020-5,2020-6,2020-7]
63_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0
63_2,0,0,0,0,0,0,2,1,2,2,2,3,5,3,3,3,2,2,1,5,1,2,1,4,5,3,3,1,3,4,4,5,2,3,2,3,7,2,7,1,7,7,4,1,5,6,3,10,7,5,6,4,6,7,0
63_3,0,0,0,0,0,0,4,3,3,4,5,8,8,5,6,7,15,10,5,10,8,11,10,7,11,12,14,12,9,9,12,13,11,4,11,12,7,6,12,13,15,10,17,12,13,10,10,11,10,9,15,20,16,12,0
63_4,0,0,0,0,0,0,2,2,5,9,5,7,5,16,12,18,10,15,19,15,12,20,17,18,20,17,23,16,17,17,21,14,14,13,13,11,17,10,13,10,29,18,30,15,22,15,24,14,19,16,16,6,15,8,0
63_5,0,0,0,0,0,0,6,7,11,10,13,11,19,20,17,22,19,23,23,22,19,23,28,17,23,16,25,33,26,23,21,29,23,24,22,27,27,12,19,15,20,18,28,18,30,23,25,25,15,18,13,22,27,16,0
63_6,0,0,0,0,0,0,3,5,8,11,12,11,13,16,29,19,18,12,15,17,20,12,16,11,18,11,14,13,15,12,12,18,12,19,14,10,20,14,18,14,20,18,17,14,22,23,20,18,15,23,20,19,13,12,0
63_7,0,0,0,0,0,0,7,7,8,9,8,13,16,8,21,19,19,17,15,21,16,24,15,18,25,15,19,12,22,24,21,18,12,22,22,26,20,12,11,14,19,16,20,20,15,21,18,20,18,31,29,17,21,15,0
63_8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63_9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
