P,[2016-1,2016-2,2016-3,2016-4,2016-5,2016-6,2016-7,2016-8,2016-9,2016-10,2016-11,2016-12,2017-1,2017-2,2017-3,2017-4,2017-5,2017-6,2017-7,2017-8,2017-9,2017-10,2017-11,2017-12,2018-1,2018-2,2018-3,2018-4,2018-5,2018-6,2018-7,2018-8,2018-9,2018-10,2018-11,2018-12,2019-1,2019-2,2019-3,2019-4,2019-5,2019-6,2019-7,2019-8,2019-9,2019-10,2019-11,2019-12,2020-1,2020-2,2020-3,2020-4,2020-5,2020-6,2020-7]
61_0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0
61_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
61_2,0,0,0,0,0,0,1,0,6,1,4,0,5,3,4,2,3,10,2,9,7,5,8,2,1,1,3,2,9,3,8,6,5,3,3,1,4,1,7,8,5,2,10,7,5,1,3,1,5,3,3,5,1,1,0
61_3,1,0,0,0,0,1,5,1,7,4,6,5,5,4,5,11,1,26,12,13,7,8,5,4,9,5,6,9,13,11,12,7,5,12,4,4,9,5,10,10,2,6,8,14,14,8,5,2,7,9,12,12,4,2,0
61_4,1,0,0,0,1,0,3,6,4,3,3,3,4,6,3,4,3,16,8,11,7,5,5,7,9,4,5,15,12,10,10,10,16,22,10,5,16,2,12,9,7,10,15,9,16,13,5,3,7,6,5,3,6,3,0
61_5,0,0,0,0,0,2,7,3,8,3,7,3,8,6,8,8,6,20,9,13,8,12,8,9,9,10,11,19,11,15,14,20,8,11,12,17,9,3,21,11,13,13,10,3,8,7,10,7,5,12,9,10,6,3,0
61_6,0,1,0,0,2,2,6,4,11,5,13,5,0,7,7,4,5,22,13,25,14,16,5,12,11,4,14,12,8,10,20,12,8,12,7,5,11,3,12,11,13,17,13,9,11,12,12,12,9,4,6,11,5,8,0
61_7,0,0,0,1,0,0,4,9,6,3,7,7,2,3,5,5,12,30,21,18,18,24,10,10,13,6,13,9,11,21,21,23,20,9,15,12,8,7,17,10,18,16,16,15,15,10,6,7,9,12,12,11,8,6,0
61_8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61_9,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0
61_10,0,0,0,0,0,1,1,0,0,1,1,2,2,3,1,1,2,5,4,1,6,5,6,4,2,1,2,0,1,4,4,2,3,3,2,2,0,1,0,1,2,2,2,1,0,1,0,1,0,3,1,0,1,0,0
61_11,0,0,1,0,0,0,1,1,2,2,1,1,1,3,2,0,3,14,4,2,3,5,4,3,7,1,2,5,2,3,5,5,6,4,3,5,5,1,6,2,5,4,10,2,6,2,4,5,3,3,6,4,2,2,0
61_12,0,0,0,0,0,0,1,0,2,1,1,0,0,0,0,0,2,5,1,5,4,2,1,3,1,3,2,1,4,0,5,9,4,4,4,4,1,3,3,1,3,5,2,8,4,7,1,2,1,2,0,3,3,1,0
