P,[2016-1,2016-2,2016-3,2016-4,2016-5,2016-6,2016-7,2016-8,2016-9,2016-10,2016-11,2016-12,2017-1,2017-2,2017-3,2017-4,2017-5,2017-6,2017-7,2017-8,2017-9,2017-10,2017-11,2017-12,2018-1,2018-2,2018-3,2018-4,2018-5,2018-6,2018-7,2018-8,2018-9,2018-10,2018-11,2018-12,2019-1,2019-2,2019-3,2019-4,2019-5,2019-6,2019-7,2019-8,2019-9,2019-10,2019-11,2019-12,2020-1,2020-2,2020-3,2020-4,2020-5,2020-6,2020-7]
676_9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
676_10,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,1,2,1,0,0,0,1,2,1,1,2,1,1,0,0,2,0,0,2,0,0,0,2,0,2,0,1,0,1,2,0,1,0,0,0,0
676_11,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,0,0,1,1,3,1,1,0,0,1,0,0,0,1,0,0,0,3,0,1,0,0,1,1,2,1,1,0,0
676_12,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,3,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,1,0,2,2,0,2,1,2,1,0,0,0,0
676_13,0,0,0,0,0,0,1,0,1,1,1,0,4,2,0,0,0,1,1,1,2,1,2,0,1,0,1,1,0,2,1,0,0,1,1,0,1,0,0,1,2,1,0,0,0,0,1,1,0,0,0,1,0,0,0
676_14,0,0,0,0,0,0,0,1,2,1,3,1,2,1,3,2,1,0,1,0,4,0,0,1,1,1,2,0,0,0,3,2,1,0,1,1,1,0,0,2,0,2,1,3,3,1,0,0,3,2,5,1,4,1,0
676_15,0,1,0,0,0,0,5,3,3,3,3,0,3,3,10,1,3,1,3,3,3,2,3,1,3,4,6,1,5,3,1,2,5,2,3,1,2,3,3,3,4,3,4,7,3,4,0,3,0,2,2,3,1,3,0
676_16,0,0,0,0,0,0,1,0,1,7,7,1,13,16,19,19,16,16,5,2,3,0,0,0,2,11,25,0,2,1,0,1,1,0,0,0,0,1,0,1,0,0,0,19,0,1,0,1,1,0,0,0,0,0,0
676_17,0,0,0,0,0,0,4,3,4,0,3,2,0,0,10,2,5,5,14,20,29,23,19,21,6,4,3,5,4,4,7,5,1,14,5,2,5,3,4,2,0,3,7,2,1,1,0,2,0,0,2,0,1,0,0
676_18,1,2,5,3,1,0,17,14,15,8,8,8,8,5,18,3,0,0,0,0,0,0,0,2,3,2,7,16,16,17,17,21,19,14,17,16,13,13,18,30,22,28,26,18,14,37,7,18,13,20,24,29,19,13,0
676_19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,2,1,1,1,0,0
676_20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
676_21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
676_22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
676_23,1,2,5,3,1,0,22,15,20,13,17,11,18,17,48,24,21,21,18,21,31,22,19,19,11,16,35,19,21,22,23,25,20,22,21,16,12,10,19,31,17,30,27,35,14,37,8,18,3,2,11,6,14,7,0
676_24,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
676_25,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,1,0,1,1,0,2,0,1,0,2,1,1,2,2,1,6,1,2,2,5,2,0,3,1,6,4,0,2,0,4,12,20,14,23,6,6,0
676_26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,2,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0
676_27,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
676_28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
676_29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
676_30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
676_31,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,2,0,2,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
676_32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
677_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
677_1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
677_2,0,0,0,0,0,2,0,0,2,0,2,1,0,1,0,2,0,1,1,2,1,1,3,1,2,2,5,3,5,5,6,2,4,2,4,4,1,3,0,2,0,2,0,2,0,2,1,1,1,1,2,1,4,1,0
677_3,0,0,0,0,0,1,0,1,2,1,1,1,0,2,0,0,2,2,2,3,2,3,3,3,3,1,7,0,6,2,6,2,3,4,3,3,1,4,1,1,2,2,3,5,1,4,2,4,1,1,3,1,3,0,0
677_4,0,0,0,0,0,2,3,1,3,1,5,4,4,2,3,3,1,5,3,6,3,4,4,3,3,1,7,2,6,5,7,3,8,5,3,2,3,1,0,3,1,6,3,7,4,7,3,4,1,3,0,2,2,0,0
677_5,0,0,0,0,1,0,3,2,3,3,3,4,4,5,4,2,8,4,8,3,11,6,6,5,6,5,5,6,2,5,4,5,2,3,2,3,2,1,3,1,2,3,8,1,9,1,7,2,5,3,2,6,2,1,0
677_6,0,0,0,0,0,1,3,8,3,6,5,10,5,8,4,6,6,4,8,5,8,5,8,3,12,9,9,12,8,7,6,6,3,3,8,2,6,4,3,7,6,8,8,8,7,7,8,8,7,7,2,3,5,1,0
677_7,0,0,0,0,0,1,3,3,6,4,5,6,9,6,6,9,6,11,11,15,8,14,6,10,5,6,6,7,7,15,11,8,10,9,6,6,3,1,3,3,5,5,4,10,5,9,4,12,1,8,4,7,5,0,0
677_8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
677_9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
677_10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,2,0,2,3,1,0,1,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,2,2,3,2,1,2,1,6,0,5,0,1,0
677_11,0,0,0,0,0,1,0,3,3,2,2,1,0,0,0,1,0,1,0,0,0,1,2,3,1,3,4,2,2,0,4,2,4,3,5,0,0,0,0,3,0,4,1,3,2,3,1,2,4,0,3,0,1,0,0
677_12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,2,1,1,2,1,3,3,2,2,2,2,2,2,0,0,1,0,2,0,1,0,0,0,1,0,2,0,2,0,2,1,0,1,0,0,0,0,0,0
677_13,0,0,0,0,0,0,1,0,2,0,2,0,0,0,4,1,1,0,2,0,1,1,1,0,1,0,3,1,3,1,4,3,2,3,2,2,2,0,1,1,1,2,0,2,0,1,0,0,0,0,0,0,1,0,0
677_14,0,0,0,0,0,0,0,2,0,3,0,2,1,0,2,2,1,2,1,1,3,1,4,2,9,4,7,2,4,3,3,1,1,2,5,1,1,1,0,2,2,1,2,0,4,4,3,2,1,2,1,2,0,0,0
677_15,0,0,0,0,0,1,2,0,6,1,5,2,4,3,3,1,2,2,6,6,6,10,6,8,4,9,6,5,3,2,4,8,2,6,4,0,3,0,4,0,6,3,6,3,4,4,5,4,4,3,5,2,5,0,0
677_16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,1,1,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
677_17,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,5,2,0,3,0,0,2,1,2,1,7,6,7,5,12,9,2,1,2,4,1,2,1,0,2,0,1,2,1,0,1,1,1,1,1,0,0,3,0,0
677_18,0,0,0,0,1,9,15,19,32,20,31,31,26,27,27,25,29,32,42,41,47,47,48,40,48,34,56,35,44,36,46,39,37,41,36,22,21,15,16,23,26,38,35,43,39,44,35,39,26,32,22,28,25,4,0
677_19,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
677_20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
677_21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
677_22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
677_23,0,0,0,0,0,5,7,12,19,11,17,17,9,9,9,20,23,25,35,30,26,34,26,24,8,13,14,15,15,30,33,29,29,38,37,14,7,1,1,1,3,5,7,6,14,12,16,18,17,18,10,10,17,1,0
677_24,0,0,0,0,1,4,7,6,11,7,12,8,12,7,9,4,4,3,4,7,10,10,15,11,24,15,28,11,23,7,14,5,5,1,1,1,0,2,1,4,4,5,5,6,5,5,5,3,1,1,5,4,6,0,0
677_25,0,0,0,0,0,0,1,2,1,3,1,6,6,11,7,4,3,5,4,6,9,6,7,9,17,12,20,15,10,9,8,5,5,4,3,8,14,13,13,17,16,28,24,31,18,27,15,20,8,13,3,15,4,3,0
677_26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,2,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
677_27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
677_28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,1,0,3,0,1,1,2,2,0,0,1,2,2,0,0,0,0
677_29,0,0,0,0,0,0,0,0,1,0,1,0,1,0,2,2,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
677_30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
677_31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,2,0,1,0,1,0,1,0,0,0
677_32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
678_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
678_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
678_2,0,0,0,0,0,0,0,0,0,0,2,1,2,1,1,0,2,1,0,0,0,0,1,1,2,0,3,1,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,1,2,0,1,0,1,0,1,0,0
678_3,0,0,0,0,0,0,2,1,0,1,1,0,2,5,0,9,1,4,4,3,7,9,0,4,3,0,3,0,4,1,2,0,3,5,1,0,0,1,1,1,2,1,1,6,2,3,8,3,2,0,2,0,3,0,0
678_4,0,0,0,0,0,0,0,0,5,1,8,2,5,8,7,5,8,5,9,7,6,6,5,6,0,2,3,2,4,1,0,2,4,1,1,2,0,0,1,1,2,2,1,4,1,3,2,3,1,5,2,0,7,1,0
678_5,0,0,0,0,0,0,0,2,2,3,6,1,6,2,5,3,6,2,5,9,7,7,7,6,2,2,4,1,5,5,2,3,5,6,2,4,0,2,3,1,6,4,6,9,4,5,6,2,2,3,0,4,4,2,0
678_6,0,0,0,0,0,0,1,1,2,1,4,2,3,3,3,7,7,3,11,7,7,8,10,10,1,3,6,3,4,0,1,0,1,3,1,1,1,0,1,0,6,2,3,5,6,2,6,4,4,2,1,1,6,1,0
678_7,0,0,0,0,0,0,1,6,5,4,7,3,7,10,4,2,8,4,6,4,2,5,7,6,5,3,3,1,8,3,2,2,2,2,2,1,1,1,3,5,1,6,5,4,12,6,6,1,4,1,4,2,11,2,0
678_8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
678_9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
678_10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,4,0,0,0,1,1,1,2,0,1,2,1,0,1,2,0,0,1,1,0,1,0,0
678_11,0,0,0,0,0,0,0,0,1,0,1,0,0,1,2,0,1,1,5,1,3,1,1,3,0,0,0,2,3,2,1,0,0,1,0,1,2,1,1,2,1,1,2,1,1,1,3,0,1,0,1,0,1,0,0
678_12,0,0,0,0,0,0,0,2,1,2,1,1,4,3,1,1,2,1,3,1,1,1,4,4,7,1,1,0,1,1,2,0,0,0,1,0,1,0,0,1,2,0,3,0,2,1,2,1,0,0,1,1,0,0,0
678_13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,5,1,3,3,2,4,1,0,1,0,3,1,1,1,0,0,1,0,0,0,0,0,0,1,1,2,2,0,1,0,1,0,1,1,1,0,0
678_14,0,0,0,0,0,0,1,0,1,0,0,2,1,1,0,1,1,1,1,0,1,3,1,3,0,0,2,5,1,1,1,0,1,1,2,1,3,0,0,2,1,1,2,0,1,0,3,0,0,1,0,0,1,1,0
678_15,0,1,0,0,0,0,0,2,4,4,8,2,7,4,10,8,5,3,10,9,9,10,5,9,3,2,4,1,0,0,3,1,2,6,1,1,1,0,0,4,2,3,4,3,6,2,7,1,5,1,2,1,5,0,0
678_16,0,0,0,0,0,0,1,2,1,1,9,7,10,6,1,9,13,8,19,15,18,19,19,9,0,2,5,9,27,12,14,8,16,20,11,10,0,0,2,1,3,0,2,0,0,0,0,0,1,0,0,0,1,0,0
678_17,0,1,0,0,0,0,5,9,20,11,29,6,25,31,30,25,27,17,39,25,28,29,24,42,23,11,25,7,8,4,1,1,7,6,1,0,0,1,1,1,1,0,0,3,0,0,1,1,1,0,0,0,3,0,0
678_18,0,0,0,0,0,0,0,3,0,4,0,1,3,1,2,1,2,0,2,2,0,5,0,5,1,0,0,0,0,0,0,2,1,0,1,1,10,5,9,17,19,23,28,33,38,24,46,13,19,12,16,10,37,7,0
678_19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,1,0,2,0,0,1,0,0
678_20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
678_21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
678_22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
678_23,0,0,0,0,0,0,1,7,0,7,1,0,6,5,5,3,2,2,5,4,3,16,10,27,17,8,23,15,34,15,14,10,20,24,12,11,0,1,0,0,0,0,2,0,1,1,1,1,0,1,0,0,2,0,0
678_24,0,1,0,0,0,0,1,4,15,7,22,6,15,24,22,21,25,9,27,18,19,22,17,6,2,3,4,0,1,0,1,0,1,0,0,0,2,0,2,0,6,9,3,6,12,5,8,7,7,5,7,4,19,3,0
