P,[2016-1,2016-2,2016-3,2016-4,2016-5,2016-6,2016-7,2016-8,2016-9,2016-10,2016-11,2016-12,2017-1,2017-2,2017-3,2017-4,2017-5,2017-6,2017-7,2017-8,2017-9,2017-10,2017-11,2017-12,2018-1,2018-2,2018-3,2018-4,2018-5,2018-6,2018-7,2018-8,2018-9,2018-10,2018-11,2018-12,2019-1,2019-2,2019-3,2019-4,2019-5,2019-6,2019-7,2019-8,2019-9,2019-10,2019-11,2019-12,2020-1,2020-2,2020-3,2020-4,2020-5,2020-6,2020-7]
164_0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164_1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164_2,0,0,0,0,0,0,1,0,1,1,2,0,2,2,2,1,2,1,1,3,3,4,4,2,5,4,5,6,5,3,3,4,3,2,3,1,6,1,2,2,1,2,6,2,4,4,1,5,4,4,1,6,2,1,0
164_3,0,0,0,0,0,0,3,2,6,3,3,8,5,10,8,6,4,2,8,13,7,5,6,3,8,7,10,6,7,5,6,7,6,9,9,6,9,9,4,4,6,6,8,5,6,5,6,10,7,9,4,4,10,6,0
164_4,0,0,0,0,0,0,2,2,2,5,4,4,6,11,8,5,8,7,8,11,8,11,11,7,9,10,8,11,9,8,7,9,8,13,10,9,9,13,8,5,18,8,10,9,7,20,12,17,12,14,12,5,12,5,0
164_5,0,0,0,0,0,0,2,3,6,5,8,9,6,14,10,11,13,13,13,7,11,14,12,11,7,6,14,9,15,7,12,14,12,14,17,10,17,12,5,13,11,7,11,5,9,3,9,7,13,7,7,10,12,2,0
164_6,0,0,0,0,0,0,0,9,1,8,2,5,10,10,12,4,7,10,10,8,12,3,11,8,10,8,10,11,12,9,15,13,14,15,13,12,12,11,7,10,12,9,14,12,9,14,12,10,13,8,12,11,11,2,0
164_7,0,0,0,0,0,0,4,6,7,3,7,8,5,12,4,5,6,7,3,4,4,5,2,2,4,7,9,5,3,9,8,6,8,11,3,7,8,8,5,7,5,6,5,3,9,4,6,2,8,4,7,5,8,3,0
164_8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164_9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164_10,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,1,2,0,2,2,2,1,1,1,5,2,3,2,2,1,2,3,2,0,2,1,4,1,0,5,3,4,1,0,0
164_11,0,0,0,0,0,0,2,1,6,3,3,4,2,5,9,1,0,4,2,2,2,1,4,5,2,3,2,4,9,2,5,5,7,5,4,4,3,2,8,5,3,6,7,4,7,3,4,3,3,1,1,4,2,2,0
164_12,0,0,0,0,0,0,1,1,1,2,0,1,1,2,0,0,1,0,1,1,0,2,1,2,0,1,2,1,1,2,0,4,3,2,2,2,0,2,3,2,2,0,5,0,1,2,3,0,1,4,1,3,1,0,0
164_13,0,0,0,0,0,0,1,1,0,3,4,4,1,4,3,3,3,2,2,2,2,1,1,0,2,1,1,4,4,3,1,2,1,1,4,3,2,2,1,2,2,3,4,5,2,2,3,3,2,3,1,2,2,0,0
164_14,0,0,0,0,0,0,0,2,0,1,3,1,3,3,1,3,2,2,3,1,2,2,1,2,3,1,1,1,3,4,3,3,4,5,6,2,1,4,2,1,3,3,5,4,5,3,7,4,4,5,6,0,4,0,0
164_15,0,0,0,0,0,0,0,0,2,0,1,1,0,1,2,1,2,2,2,5,6,1,3,3,3,2,0,0,0,1,0,2,2,1,2,4,3,3,3,2,2,8,2,6,1,6,9,4,5,4,2,5,7,0,0
164_16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,16,1,11,1,3,8,6,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0
164_17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,2,1,1,2,1,1,0,0
164_18,0,0,0,0,0,0,16,28,32,35,38,45,41,73,59,40,48,50,52,54,42,49,45,45,50,42,57,55,68,53,61,67,67,78,75,60,73,65,48,53,66,60,77,51,60,63,73,62,68,65,55,56,67,20,0
164_19,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,2,1,1,1,3,1,1,2,2,0,2,2,1,1,1,1,4,1,2,1,1,2,1,0,2,4,1,0
164_20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164_21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164_22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164_23,0,0,0,0,0,0,0,2,3,1,2,7,1,12,24,7,26,28,33,49,58,50,57,44,41,37,33,26,26,5,1,0,0,1,0,1,2,0,4,1,1,0,1,0,0,0,0,0,3,6,7,14,22,9,0
164_24,0,0,0,0,0,0,10,15,16,24,23,26,30,51,28,29,19,20,20,8,0,0,0,1,3,7,18,24,33,37,48,53,50,65,69,43,48,55,35,42,54,47,56,42,52,51,59,52,59,51,41,37,44,8,0
164_25,0,0,0,0,0,0,7,9,13,9,12,13,10,8,6,2,1,1,0,0,0,0,0,1,8,6,11,8,11,11,13,17,16,12,8,17,19,11,10,10,11,13,17,12,10,14,15,13,9,11,9,8,6,3,0
164_26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0
164_27,0,0,0,0,0,0,0,2,1,1,1,0,1,2,1,2,2,1,0,0,0,0,0,0,1,0,1,0,0,2,0,0,2,0,0,0,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0,1,0
