;Name;Status;2016;2017;2018;2019;2020
Bình Định;Bình Định;Province;1486794.45797;1486835.6375;1486876.81818;1486918;1486959.18182
Bình Định;An Lão;District;26856.82575;27179.65443;27506.36364;27837;28167.63636
Bình Định;An Nhơn;District-level Town;176450.49515;176202.98307;175955.81818;175709;175462.18182
Bình Định;Hoài Ân;District;85356.00674;85470.51747;85585.18182;85700;85814.81818
Bình Định;Hoài Nhơn;District;207339.78013;207557.95709;207776.36364;207995;208213.63636
Bình Định;Phù Cát;District;184697.95552;184277.68142;183858.36364;183440;183021.63636
Bình Định;Phù Mỹ;District;163683.39094;162973.5198;162266.72727;161563;160859.27273
Bình Định;Qui Nhơn;District-level City;287464.91784;288325.03579;289187.72727;290053;290918.27273
Bình Định;Tây Sơn;District;117981.63449;117306.56777;116635.36364;115968;115300.63636
Bình Định;Tuy Phước;District;180134.82402;180153.5474;180172.27273;180191;180209.72727
Bình Định;Vân Canh;District;27007.61027;27293.69897;27582.81818;27875;28167.18182
Bình Định;Vĩnh Thạnh;District;29880.95784;30114.47555;30349.81818;30587;30824.18182
Bình Dương;Bình Dương;Province;2177847.73942;2257782.38348;2340650.90909;2426561;2512471.09091
Bình Dương;Bắc Tân Uyên;District;61227.34899;62734.17812;64278.09091;65860;67441.90909
Bình Dương;Bàu Bàng;District;82957.99927;86079.4122;89318.27273;92679;96039.72727
Bình Dương;Bến Cát;District-level Town;259808.24534;273408.47405;287720.63636;302782;317843.36364
Bình Dương;Dầu Tiếng;District;110021.56004;110832.38318;111649.18182;112472;113294.81818
Bình Dương;Dĩ An;District-level Town;428238.47948;443191.14555;458665.90909;474681;490696.09091
Bình Dương;Phú Giáo;District;88064.45919;88619.79679;89178.63636;89741;90303.36364
Bình Dương;Tân Uyên;District-level Town;315123.493;332599.26153;351044.18182;370512;389979.81818
Bình Dương;Thuận An;District-level Town;538050.06153;556782.61957;576167.36364;596227;616286.63636
Bình Dương;Thủ Dầu Một;District-level City;295416.86367;303900.92341;312628.63636;321607;330585.36364
Bình Phước;Bình Phước;Province;962020.99173;972786.08293;983671.63636;994679;1005686.36364
Bình Phước;Bình Long;District-level Town;53702.02707;54970.48735;56268.90909;57598;58927.09091
Bình Phước;Bù Đăng;District;138284.15825;138879.20794;139476.81818;140077;140677.18182
Bình Phước;Bù Đốp;District;55761.09463;56273.01562;56789.63636;57311;57832.36364
Bình Phước;Bù Gia Mập;District;80783.94897;82169.72498;83579.27273;85013;86446.72727
Bình Phước;Chơn Thành;District;83447.44436;85900.79437;88426.27273;91026;93625.72727
Bình Phước;Đồng Phú;District;92635.70205;93900.13072;95181.81818;96481;97780.18182
Bình Phước;Đồng Xoài;District-level Town;101007.28267;103475.70683;106004.45455;108595;111185.54545
Bình Phước;Hớn Quản;District;101600.55311;100664.09725;99736.27273;98817;97897.72727
Bình Phước;Lộc Ninh;District;113108.84092;113510.79715;113914.18182;114319;114723.81818
Bình Phước;Phước Long;District-level Town;51631.09115;52406.36138;53193.27273;53992;54790.72727
Bình Phước;Phú Riềng;District;90406.17863;90752.78851;91100.72727;91450;91799.27273
