;Name;Status;2016-1;2016-2;2016-3;2016-4;2016-5;2016-6;2016-7;2016-8;2016-9;2016-10;2016-11;2016-12;2017-1;2017-2;2017-3;2017-4;2017-5;2017-6;2017-7;2017-8;2017-9;2017-10;2017-11;2017-12;2018-1;2018-2;2018-3;2018-4;2018-5;2018-6;2018-7;2018-8;2018-9;2018-10;2018-11;2018-12;2019-1;2019-2;2019-3;2019-4;2019-5;2019-6;2019-7;2019-8;2019-9;2019-10;2019-11;2019-12;2020-1;2020-2;2020-3;2020-4;2020-5;2020-6;2020-7
Thanh Hóa;Bá Thước;District;99618.73333;99618.73333;99618.73333;99618.73333;99618.73333;99618.73333;99618.73333;99618.73333;99618.73333;99618.73333;99618.73333;99618.73333;100022.18604;100022.18604;100022.18604;100022.18604;100022.18604;100022.18604;100022.18604;100022.18604;100022.18604;100022.18604;100022.18604;100022.18604;100427.27273;100427.27273;100427.27273;100427.27273;100427.27273;100427.27273;100427.27273;100427.27273;100427.27273;100427.27273;100427.27273;100427.27273;100834;100834;100834;100834;100834;100834;100834;100834;100834;100834;100834;100834;101240.72727;101240.72727;101240.72727;101240.72727;101240.72727;101240.72727;101240.72727
Thanh Hóa;Bỉm Sơn;District-level Town;57042.13921;57042.13921;57042.13921;57042.13921;57042.13921;57042.13921;57042.13921;57042.13921;57042.13921;57042.13921;57042.13921;57042.13921;57483.99463;57483.99463;57483.99463;57483.99463;57483.99463;57483.99463;57483.99463;57483.99463;57483.99463;57483.99463;57483.99463;57483.99463;57929.27273;57929.27273;57929.27273;57929.27273;57929.27273;57929.27273;57929.27273;57929.27273;57929.27273;57929.27273;57929.27273;57929.27273;58378;58378;58378;58378;58378;58378;58378;58378;58378;58378;58378;58378;58826.72727;58826.72727;58826.72727;58826.72727;58826.72727;58826.72727;58826.72727
Thanh Hóa;Cẩm Thủy;District;107449.23523;107449.23523;107449.23523;107449.23523;107449.23523;107449.23523;107449.23523;107449.23523;107449.23523;107449.23523;107449.23523;107449.23523;108322.70371;108322.70371;108322.70371;108322.70371;108322.70371;108322.70371;108322.70371;108322.70371;108322.70371;108322.70371;108322.70371;108322.70371;109203.27273;109203.27273;109203.27273;109203.27273;109203.27273;109203.27273;109203.27273;109203.27273;109203.27273;109203.27273;109203.27273;109203.27273;110091;110091;110091;110091;110091;110091;110091;110091;110091;110091;110091;110091;110978.72727;110978.72727;110978.72727;110978.72727;110978.72727;110978.72727;110978.72727
Thanh Hóa;Đông Sơn;District;76208.22541;76208.22541;76208.22541;76208.22541;76208.22541;76208.22541;76208.22541;76208.22541;76208.22541;76208.22541;76208.22541;76208.22541;76445.74257;76445.74257;76445.74257;76445.74257;76445.74257;76445.74257;76445.74257;76445.74257;76445.74257;76445.74257;76445.74257;76445.74257;76684;76684;76684;76684;76684;76684;76684;76684;76684;76684;76684;76684;76923;76923;76923;76923;76923;76923;76923;76923;76923;76923;76923;76923;77162;77162;77162;77162;77162;77162;77162
Thanh Hóa;Hà Trung;District;115910.9853;115910.9853;115910.9853;115910.9853;115910.9853;115910.9853;115910.9853;115910.9853;115910.9853;115910.9853;115910.9853;115910.9853;116874.62336;116874.62336;116874.62336;116874.62336;116874.62336;116874.62336;116874.62336;116874.62336;116874.62336;116874.62336;116874.62336;116874.62336;117846.27273;117846.27273;117846.27273;117846.27273;117846.27273;117846.27273;117846.27273;117846.27273;117846.27273;117846.27273;117846.27273;117846.27273;118826;118826;118826;118826;118826;118826;118826;118826;118826;118826;118826;118826;119805.72727;119805.72727;119805.72727;119805.72727;119805.72727;119805.72727;119805.72727
Thanh Hóa;Hậu Lộc;District;173522.35233;173522.35233;173522.35233;173522.35233;173522.35233;173522.35233;173522.35233;173522.35233;173522.35233;173522.35233;173522.35233;173522.35233;174482.24845;174482.24845;174482.24845;174482.24845;174482.24845;174482.24845;174482.24845;174482.24845;174482.24845;174482.24845;174482.24845;174482.24845;175447.45455;175447.45455;175447.45455;175447.45455;175447.45455;175447.45455;175447.45455;175447.45455;175447.45455;175447.45455;175447.45455;175447.45455;176418;176418;176418;176418;176418;176418;176418;176418;176418;176418;176418;176418;177388.54545;177388.54545;177388.54545;177388.54545;177388.54545;177388.54545;177388.54545
Thanh Hóa;Hoằng Hóa;District;229960.14935;229960.14935;229960.14935;229960.14935;229960.14935;229960.14935;229960.14935;229960.14935;229960.14935;229960.14935;229960.14935;229960.14935;230983.20805;230983.20805;230983.20805;230983.20805;230983.20805;230983.20805;230983.20805;230983.20805;230983.20805;230983.20805;230983.20805;230983.20805;232010.81818;232010.81818;232010.81818;232010.81818;232010.81818;232010.81818;232010.81818;232010.81818;232010.81818;232010.81818;232010.81818;232010.81818;233043;233043;233043;233043;233043;233043;233043;233043;233043;233043;233043;233043;234075.18182;234075.18182;234075.18182;234075.18182;234075.18182;234075.18182;234075.18182
Thanh Hóa;Lang Chánh;District;48488.33341;48488.33341;48488.33341;48488.33341;48488.33341;48488.33341;48488.33341;48488.33341;48488.33341;48488.33341;48488.33341;48488.33341;48873.81623;48873.81623;48873.81623;48873.81623;48873.81623;48873.81623;48873.81623;48873.81623;48873.81623;48873.81623;48873.81623;48873.81623;49262.36364;49262.36364;49262.36364;49262.36364;49262.36364;49262.36364;49262.36364;49262.36364;49262.36364;49262.36364;49262.36364;49262.36364;49654;49654;49654;49654;49654;49654;49654;49654;49654;49654;49654;49654;50045.63636;50045.63636;50045.63636;50045.63636;50045.63636;50045.63636;50045.63636
Thanh Hóa;Mường Lát;District;38130.99365;38130.99365;38130.99365;38130.99365;38130.99365;38130.99365;38130.99365;38130.99365;38130.99365;38130.99365;38130.99365;38130.99365;38727.28891;38727.28891;38727.28891;38727.28891;38727.28891;38727.28891;38727.28891;38727.28891;38727.28891;38727.28891;38727.28891;38727.28891;39332.90909;39332.90909;39332.90909;39332.90909;39332.90909;39332.90909;39332.90909;39332.90909;39332.90909;39332.90909;39332.90909;39332.90909;39948;39948;39948;39948;39948;39948;39948;39948;39948;39948;39948;39948;40563.09091;40563.09091;40563.09091;40563.09091;40563.09091;40563.09091;40563.09091
Thanh Hóa;Nga Sơn;District;139678.35086;139678.35086;139678.35086;139678.35086;139678.35086;139678.35086;139678.35086;139678.35086;139678.35086;139678.35086;139678.35086;139678.35086;140155.27032;140155.27032;140155.27032;140155.27032;140155.27032;140155.27032;140155.27032;140155.27032;140155.27032;140155.27032;140155.27032;140155.27032;140633.81818;140633.81818;140633.81818;140633.81818;140633.81818;140633.81818;140633.81818;140633.81818;140633.81818;140633.81818;140633.81818;140633.81818;141114;141114;141114;141114;141114;141114;141114;141114;141114;141114;141114;141114;141594.18182;141594.18182;141594.18182;141594.18182;141594.18182;141594.18182;141594.18182
