,11-28-2016,12-28-2016,1-28-2017,2-28-2017,9-28-2020
0,784.0,926.0,1163.0,0.0,0.0
1,150.0,176.0,168.0,0.0,168.0
2,230.0,276.0,402.0,0.0,402.0
3,25.0,30.0,19.0,0.0,30.0
4,63.0,42.0,54.0,0.0,42.0
5,317.0,357.0,366.0,0.0,317.0
6,268.0,329.0,321.0,0.0,268.0
7,181.0,220.0,237.0,0.0,220.0
8,290.0,398.0,376.0,0.0,0.0
9,86.0,101.0,104.0,0.0,86.0
10,248.0,344.0,361.0,0.0,0.0
11,269.0,383.0,358.0,0.0,0.0
12,251.0,351.0,288.0,0.0,288.0
13,36.0,47.0,39.0,0.0,36.0
14,212.0,254.0,253.0,0.0,254.0
15,70.0,44.0,91.0,0.0,91.0
16,529.0,554.0,551.0,0.0,554.0
17,462.0,529.0,809.0,0.0,529.0
18,302.0,388.0,338.0,0.0,388.0
19,24.0,28.0,28.0,0.0,28.0
20,96.0,129.0,103.0,0.0,103.0
21,393.0,442.0,443.0,0.0,442.0
22,256.0,293.0,313.0,0.0,256.0
23,64.0,137.0,115.0,0.0,115.0
24,1781.0,1995.0,1893.0,0.0,1781.0
25,34.0,26.0,49.0,0.0,0.0
26,921.0,1100.0,1225.0,0.0,921.0
27,147.0,240.0,175.0,0.0,0.0
28,121.0,152.0,139.0,0.0,121.0
29,48.0,41.0,61.0,0.0,48.0
30,211.0,281.0,223.0,0.0,223.0
31,187.0,261.0,239.0,0.0,187.0
32,379.0,521.0,481.0,0.0,481.0
33,25.0,44.0,19.0,0.0,19.0
34,76.0,113.0,108.0,0.0,76.0
35,9.0,22.0,14.0,0.0,22.0
36,58.0,51.0,59.0,0.0,0.0
37,25.0,39.0,35.0,0.0,39.0
38,481.0,539.0,561.0,0.0,0.0
39,416.0,413.0,409.0,0.0,409.0
40,387.0,497.0,406.0,2.0,406.0
41,145.0,190.0,225.0,0.0,190.0
42,157.0,251.0,210.0,0.0,251.0
43,101.0,94.0,92.0,0.0,94.0
44,137.0,183.0,200.0,0.0,200.0
45,57.0,49.0,33.0,0.0,49.0
46,237.0,311.0,307.0,0.0,311.0
47,161.0,129.0,88.0,0.0,161.0
48,241.0,264.0,261.0,1.0,261.0
49,117.0,150.0,132.0,0.0,0.0
50,326.0,447.0,430.0,0.0,0.0
51,51.0,83.0,47.0,0.0,47.0
52,400.0,492.0,471.0,1.0,492.0
53,174.0,185.0,223.0,0.0,223.0
54,131.0,121.0,179.0,0.0,0.0
55,90.0,71.0,65.0,0.0,65.0
56,362.0,443.0,442.0,1.0,442.0
57,302.0,419.0,435.0,0.0,435.0
58,93.0,130.0,171.0,0.0,130.0
59,68.0,86.0,74.0,0.0,74.0
60,207.0,277.0,298.0,0.0,277.0
61,54.0,35.0,39.0,0.0,39.0
62,43.0,18.0,18.0,0.0,18.0

